title,phone,street,city,province,postalCode
420 Central,(714) 540-4420,420 W Central Ave,Santa Ana,CA,92707
502 Hemp Wellness Center (La Grange),502-265-7043,"1407 E. Crystal Dr., Suite I",La Grange,KY,40031
502 Hemp Wellness Center (Louisville),502-654-7100,"201 Moser Rd., Suite B",Louisville,KY,40223
530 Collective,530-275-0420,1550 Locust Avenue,Shasta Lake,CA,96019
7 Stars Holistic Healing Center,(510) 527-7827,"3288 Pierce St., Suite M108",Richmond,CA,94804
A Therapeutic Alternative,916-822-4717,3015 H Street,Sacramento,CA,95816
Abatin,(916) 822-5699,2100 29th Street,Sacramento,CA,95817
Airfield Supply Co.,(408) 320-0230,1190 Coleman Ave,San Jose,CA,95110
AJ’s Coastal Bliss District,843.284.3551,1350 Highway 501Business Ste. 8,Conway,SC,29526
AJ’s Coastal Bliss District,(716) 662-1795,3911 N Buffalo Street,Orchard Park,NY,14127
Alchemist's Kitchen,(212) 925-1267,21 E. 1st St.,New York,NY,10003
All About Wellness,(916) 454-4327,1900 19th Street,Sacramento,CA,95811
Alpine Alternative,(916) 739-6337,8112 Alpine Ave.,Sacramento,CA,95826
Apothekare,(858) 496-7620,3455 Camino del Rio South,San Diego,CA,92108
BASA (Bay Area Safe Alternative),(415) 409-1002,1326 Grove Street,San Francisco,CA,94117
Better Health Group,707-643-3767,3611 Sonoma Boulevard,Vallejo,CA,94590
Blue Lotus Wellness and CBD Boutique,407-235-0653,368 Moore Road,Ocoee,FL,34761
BPG (Berkeley Patients Group),510-540-6013,2366 San Pablo Ave.,Berkeley,CA,94702
Buds & Roses,818-907-8852,13047 Ventura Boulevard,Studio City,CA,91604
Buds and Blooms,(714) 576-2150,1327 E St Gertrude,Irvine,CA,92612
Buzzards Bay Botanicals,774-302-4679,45 Main Street,Buzzards Bay,MA,02532
C.R.A.F.T.,(855) 563-2738,(Delivery only),Berkeley,CA,94704
California Caregivers Alliance,213.353.0100,"2815 W SUNSET BLVD, STE 201",Los Angeles,CA,90026
Caliva,(408) 297-2615,1695 South 7th Street,San Jose,CA,95112
Cann-Help Wellness,(405) 455-3012,"2150 S. Douglas Blvd., Suite A",Midwest City,OK,73130
CannaCruz,831-420-3227,115 Limekiln Street,Santa Cruz,CA,95065
Captain Jack's,909-912-0314,2085 W Foothill Blvd,Upland,CA,91786
CBCB,(510) 849-4201,3033 Shattuck Ave,Berkeley,CA,94705
CBD Dispensary Shop,(609) 488-0555,913 N Main St.,Pleasantville,NJ,08232
